Age,Job Type,Marital Status,Education,Metro City,Signed in since(Days),Purchase made
28,Unemployed,No,Graduate,No,32,261.4689
57,Retired,Yes,Graduate,Yes,31,273.9025
27,Student,Yes,Graduate,Yes,31,275.8921
23,Unemployed,Yes,Secondry,Yes,34,295.1524
23,Employed,Yes,Graduate,Yes,42,325.0809
58,Retired,Yes,Graduate,Yes,31,327.61
26,Employed,No,Graduate,No,40,338.9281
NA,Unemployed,No,Graduate,No,42,355.3225
56,Retired,No,Graduate,No,31,362.9025
23,Unemployed,Yes,Secondry,Yes,31,364.81
57,Retired,Yes,Secondry,Yes,37,446.4769
29,Unemployed,Yes,Secondry,Yes,45,475.6761
59,Retired,No,Graduate,No,31,484
NA,Unemployed,Yes,Graduate,Yes,41,512.1169
61,Retired,Yes,Graduate,Yes,39,554.1316
60,Retired,No,Graduate,No,31,576
58,Retired,Yes,Graduate,Yes,35,577.9216
65,Retired,Yes,Graduate,Yes,34,577.9216
59,Retired,No,Graduate,No,40,590.49
55,Employed,Yes,Secondry,Yes,52,1313.3376
46,Retired,Yes,Graduate,Yes,42,1327.8736
30,Employed,Yes,Graduate,Yes,33,1343.9556
53,Employed,No,Graduate,No,31,1369
34,Employed,No,Graduate,No,31,1369
51,Employed,No,Graduate,Yes,34,1397.2644
34,Employed,Yes,Graduate,Yes,31,1410.0025
46,Employed,Yes,Graduate,Yes,44,2217.4681
29,Employed,Yes,Secondry,Yes,50,2226.8961
26,Unemployed,Yes,Graduate,Yes,64,2244.8644
30,Employed,No,Graduate,No,58,2270.5225
27,Employed,Yes,Graduate,Yes,58,2304.9601
NA,Unemployed,Yes,Secondry,Yes,65,2362.9321
30,Employed,Yes,Graduate,Yes,55,2378.5129
28,Employed,Yes,Graduate,Yes,67,2414.7396
29,Employed,No,Graduate,No,58,2429.5041
28,Unemployed,No,Graduate,No,54,2440.36
26,Student,No,Secondry,No,52,2563.3969
26,Employed,No,Graduate,No,58,2570.49
NA,Employed,No,Secondry,No,70,2587.7569
29,Employed,Yes,Graduate,Yes,64,2607.1236
27,Employed,Yes,Graduate,Yes,71,2638.8769
26,Unemployed,No,Secondry,Yes,64,2647.1025
30,Employed,Yes,Graduate,Yes,60,2655.3409
26,Employed,Yes,Graduate,Yes,57,2704
29,Employed,No,Graduate,No,63,2760.4516
28,Employed,Yes,Secondry,Yes,55,2793.1225
25,Employed,Yes,Secondry,Yes,49,2809
30,Employed,Yes,Secondry,Yes,66,2857.9716
NA,Employed,Yes,Secondry,Yes,60,2869.7449
25,Employed,Yes,Secondry,Yes,54,2872.96
27,Employed,Yes,Secondry,Yes,72,2887.9876
28,Employed,Yes,Graduate,Yes,59,3014.01
30,Employed,No,Graduate,No,55,3015.1081
28,Employed,Yes,Graduate,Yes,59,3043.7289
NA,Employed,Yes,Graduate,Yes,60,3121.4569
27,Employed,No,Graduate,No,66,3140.4816
29,Employed,No,Secondry,No,62,3142.7236
27,Employed,No,Graduate,Yes,62,3211.4889
NA,Retired,Yes,Graduate,Yes,61,3386.0761
30,Employed,No,Graduate,Yes,59,3395.3929
NA,Retired,Yes,Secondry,Yes,69,3422.25
25,Employed,No,Graduate,No,62,3422.25
39,Employed,No,Graduate,No,77,4587.3529
51,Unemployed,No,Secondry,Yes,81,4591.4176
41,Employed,Yes,Secondry,Yes,75,4604.9796
53,Employed,Yes,Secondry,Yes,71,4625.3601
50,Employed,Yes,Graduate,Yes,76,4671.7225
44,Student,Yes,Graduate,Yes,74,4762.3801
37,Employed,No,Graduate,Yes,75,4844.16
41,Employed,No,Secondry,Yes,64,4873.4361
37,Unemployed,No,Graduate,Yes,66,4877.6256
55,Retired,No,Secondry,No,79,4879.0225
43,Retired,Yes,Secondry,Yes,81,4881.8169
33,Employed,Yes,Secondry,Yes,69,4890.2049
42,Employed,No,Graduate,No,66,4930.8484
54,Employed,Yes,Graduate,Yes,75,4953.3444
